"time"	"FSH"	"LH"	"E2"	"P4"	"IH"	"TST"
0	142.5	25.34	56.387	0.468	297.9	273.67
1	158.3	28.74	49.168	0.227	284.1	284.31
2	175.1	29.36	56.087	0.519	313.8	285.88
3	168	33.71	59.465	0.43	308.7	290.4
4	179.1	34.29	55.76	0.417	299.3	297.01
5	180.6	36.78	59.138	0.406	298.7	304.9
6	177.3	37.35	68.4	0.392	302.2	315.16
7	177	38.88	68.236	0.379	301.5	316.9
8	166.1	38.52	78.696	0.292	339.8	320.48
9	153.4	35.28	92.67	0.279	352	324.67
10	144.4	38.71	104.3	0.418	329.7	332.45
11	134.5	34.54	143.04	0.254	346.3	343.8
12	118.9	37.02	181.75	0.393	388.8	354.29
13	116.6	56.62	231.05	0.381	461.7	370.6
14	155.3	142.9	296.92	0.52	625.4	380.99
15	325.4	369.2	248.43	1.189	745.8	387.38
16	210.7	124	123.4	1.934	636.9	382.6
17	138.9	44.63	93.76	3.966	584.2	367.56
18	127.1	41.39	114.82	7.897	778.3	363.52
19	118.2	34.32	133.5	11.52	993.9	343.6
20	107.3	29.18	149.85	13.401	1279	326.72
21	101.2	21.18	155.57	15.741	1486	319.44
22	86.53	17.95	174.28	16.483	1632	310.49
23	81.36	16.64	178.83	15.486	1597	305.6
24	75.29	13.38	162.19	12.366	1440	300.32
25	76.79	12.02	149.06	10.306	1154	293.39
26	82.1	13.54	130.04	7.111	919.5	283.59
27	91.23	16.02	112.23	4.749	711.1	269.71
28	100.4	16.56	92.044	3.827	675.8	265.8
29	121.9	24.72	75.373	2.45	532.2	251.28
30	133.9	28.2	66.983	1.604	423.4	258.17
31	142.5	25.34	56.387	0.468	297.9	273.67
32	158.3	28.74	49.168	0.227	284.1	284.31
33	175.1	29.36	56.087	0.519	313.8	285.88
34	168	33.71	59.465	0.43	308.7	290.4
35	179.1	34.29	55.76	0.417	299.3	297.01
36	180.6	36.78	59.138	0.406	298.7	304.9
37	177.3	37.35	68.4	0.392	302.2	315.16
38	177	38.88	68.236	0.379	301.5	316.9
39	166.1	38.52	78.696	0.292	339.8	320.48
40	153.4	35.28	92.67	0.279	352	324.67
41	144.4	38.71	104.3	0.418	329.7	332.45
42	134.5	34.54	143.04	0.254	346.3	343.8
43	118.9	37.02	181.75	0.393	388.8	354.29
44	116.6	56.62	231.05	0.381	461.7	370.6
45	155.3	142.9	296.92	0.52	625.4	380.99
46	325.4	369.2	248.43	1.189	745.8	387.38
47	210.7	124	123.4	1.934	636.9	382.6
48	138.9	44.63	93.76	3.966	584.2	367.56
49	127.1	41.39	114.82	7.897	778.3	363.52
50	118.2	34.32	133.5	11.52	993.9	343.6
51	107.3	29.18	149.85	13.401	1279	326.72
52	101.2	21.18	155.57	15.741	1486	319.44
53	86.53	17.95	174.28	16.483	1632	310.49
54	81.36	16.64	178.83	15.486	1597	305.6
55	75.29	13.38	162.19	12.366	1440	300.32
56	76.79	12.02	149.06	10.306	1154	293.39
57	82.1	13.54	130.04	7.111	919.5	283.59
58	91.23	16.02	112.23	4.749	711.1	269.71
59	100.4	16.56	92.044	3.827	675.8	265.8
60	121.9	24.72	75.373	2.45	532.2	251.28
61	133.9	28.2	66.983	1.604	423.4	258.17
